customer_id,name,email,city,signup_channel,signup_date,age,gender
1001,customer_0,customer0.gmail.com,Delhi,Organic,2023-05-07,52,M
1002,customer_1,customer1.gmail.com,Delhi,SMS,2024-06-03,36,F
1003,customer_2,customer2.gmail.com,Bengaluru,SMS,2022-02-25,48,M
1004,customer_3,customer3.gmail.com,Chennai,SMS,2023-05-31,37,F
1005,customer_4,customer4.gmail.com,Mumbai,Google Search,2022-01-05,38,M
1006,customer_5,customer5.gmail.com,Bengaluru,Organic,2022-07-17,42,F
1007,customer_6,customer6.gmail.com,Hyderabad,Organic,2023-04-09,29,F
1008,customer_7,customer7.gmail.com,Bengaluru,Email,2022-07-02,51,F
1009,customer_8,customer8.gmail.com,Pune,Organic,2022-05-21,34,M
1010,customer_9,customer9.gmail.com,Chennai,Email,2024-11-20,60,F
1011,customer_10,customer10.gmail.com,Delhi,SMS,2023-08-11,49,M
1012,customer_11,customer11.gmail.com,Delhi,Paid Social,2023-02-11,18,Others
1013,customer_12,customer12.gmail.com,Delhi,SMS,2024-01-23,32,M
1014,customer_13,customer13.gmail.com,Mumbai,Organic,2022-09-21,18,M
1015,customer_14,customer14.gmail.com,Pune,Email,2024-12-25,42,F
1016,customer_15,customer15.gmail.com,Bengaluru,SMS,2024-02-14,24,F
1017,customer_16,customer16.gmail.com,Hyderabad,Organic,2022-02-20,51,M
1018,customer_17,customer17.gmail.com,Mumbai,Organic,2024-02-29,61,M
1019,customer_18,customer18.gmail.com,Hyderabad,Email,2022-07-15,23,F
1020,customer_19,customer19.gmail.com,Mumbai,Google Search,2024-03-23,55,M
1021,customer_20,customer20.gmail.com,Pune,Paid Social,2022-05-05,53,Others
1022,customer_21,customer21.gmail.com,Mumbai,Google Search,2023-02-26,18,F
1023,customer_22,customer22.gmail.com,Hyderabad,SMS,2022-10-14,32,M
1024,customer_23,customer23.gmail.com,Mumbai,Google Search,2022-03-25,30,M
1025,customer_24,customer24.gmail.com,Pune,Email,2023-12-10,38,M
1026,customer_25,customer25.gmail.com,Delhi,Paid Social,2024-11-17,30,F
1027,customer_26,customer26.gmail.com,Mumbai,Google Search,2022-07-07,57,M
1028,customer_27,customer27.gmail.com,Hyderabad,Google Search,2024-03-26,34,M
1029,customer_28,customer28.gmail.com,Chennai,Paid Social,2024-05-21,34,M
1030,customer_29,customer29.gmail.com,Hyderabad,SMS,2024-01-27,29,F
1031,customer_30,customer30.gmail.com,Mumbai,Email,2022-10-12,51,F
1032,customer_31,customer31.gmail.com,Pune,Paid Social,2022-10-14,56,M
1033,customer_32,customer32.gmail.com,Bengaluru,SMS,2022-02-13,57,F
1034,customer_33,customer33.gmail.com,Delhi,Paid Social,2023-01-31,28,M
1035,customer_34,customer34.gmail.com,Pune,Email,2024-08-14,31,F
1036,customer_35,customer35.gmail.com,Bengaluru,Email,2022-03-13,32,M
1037,customer_36,customer36.gmail.com,Hyderabad,Google Search,2023-09-15,40,F
1038,customer_37,customer37.gmail.com,Mumbai,Google Search,2022-08-16,21,M
1039,customer_38,customer38.gmail.com,Hyderabad,Organic,2024-09-05,50,M
1040,customer_39,customer39.gmail.com,Mumbai,Organic,2023-03-07,42,M
1041,customer_40,customer40.gmail.com,Chennai,Google Search,2022-04-28,62,F
1042,customer_41,customer41.gmail.com,Delhi,Email,2023-06-30,58,F
1043,customer_42,customer42.gmail.com,Mumbai,SMS,2022-04-09,39,F
1044,customer_43,customer43.gmail.com,Hyderabad,Google Search,2022-08-23,49,F
1045,customer_44,customer44.gmail.com,Chennai,Organic,2022-12-29,18,M
1046,customer_45,customer45.gmail.com,Bengaluru,Email,2022-12-01,41,F
1047,customer_46,customer46.gmail.com,Bengaluru,Paid Social,2024-07-25,24,M
1048,customer_47,customer47.gmail.com,Bengaluru,Google Search,2023-06-22,60,F
1049,customer_48,customer48.gmail.com,Mumbai,Google Search,2023-06-24,54,M
1050,customer_49,customer49.gmail.com,Pune,SMS,2023-07-30,23,F
1051,customer_50,customer50.gmail.com,Hyderabad,Email,2022-08-02,32,M
1052,customer_51,customer51.gmail.com,Hyderabad,SMS,2022-02-03,51,M
1053,customer_52,customer52.gmail.com,Pune,Paid Social,2024-05-29,18,F
1054,customer_53,customer53.gmail.com,Chennai,Email,2023-12-07,56,F
1055,customer_54,customer54.gmail.com,Bengaluru,SMS,2022-08-20,25,M
1056,customer_55,customer55.gmail.com,Bengaluru,Paid Social,2022-02-01,52,M
1057,customer_56,customer56.gmail.com,Chennai,Paid Social,2022-01-26,29,M
1058,customer_57,customer57.gmail.com,Chennai,Google Search,2023-03-22,63,F
1059,customer_58,customer58.gmail.com,Hyderabad,Email,2024-06-01,41,M
1060,customer_59,customer59.gmail.com,Mumbai,Paid Social,2023-02-07,18,F
1061,customer_60,customer60.gmail.com,Mumbai,SMS,2023-10-22,30,Others
1062,customer_61,customer61.gmail.com,Delhi,Email,2024-06-08,54,F
1063,customer_62,customer62.gmail.com,Bengaluru,Paid Social,2022-11-12,32,Others
1064,customer_63,customer63.gmail.com,Chennai,Google Search,2022-06-09,51,M
1065,customer_64,customer64.gmail.com,Chennai,Organic,2022-05-04,54,M
1066,customer_65,customer65.gmail.com,Hyderabad,Organic,2023-06-10,30,M
1067,customer_66,customer66.gmail.com,Mumbai,Organic,2024-01-05,33,F
1068,customer_67,customer67.gmail.com,Delhi,Paid Social,2023-03-03,53,F
1069,customer_68,customer68.gmail.com,Pune,Paid Social,2022-01-27,23,F
1070,customer_69,customer69.gmail.com,Mumbai,SMS,2022-11-05,51,F
1071,customer_70,customer70.gmail.com,Mumbai,Organic,2023-12-10,29,F
1072,customer_71,customer71.gmail.com,Hyderabad,Organic,2023-12-23,61,M
1073,customer_72,customer72.gmail.com,Bengaluru,Email,2024-11-23,55,F
1074,customer_73,customer73.gmail.com,Chennai,Email,2022-03-17,64,F
